end_date,profit_dedt,n_cashflow_act,total_cur_liab,total_ncl,total_assets,total_revenue,oper_cost,total_cur_assets,ts_code
20220331,260842362.43,-15281941410.2,34286256307.62,2669996775.85,52844889638.72,17276883283.57,15345169396.76,50314069038.11,000977.SZ
20211231,589436440.8999999,188979243.28999996,28658596538.69,1983985056.08,46208162562.76,20800465014.75,19211333353.17,43755918415.92,000977.SZ
20210930,501230778.36,-6102660225.219999,30774788449.75,1876605047.53,48674288740.81,17691991995.69,15435321393.350002,46175797807.01,000977.SZ
20220930,29342010.720000003,21305132.270000003,531694919.68,61423432.94,1403780472.03,136021808.65,57135870.45,837890060.55,688329.SH
20220630,27813965.97,33460403.8,491469569.89,10000823.7,1305268335.95,122883858.77000001,59226591.61,783703985.41,688329.SH
20220331,-1855938.84,6238788.63,383811086.69,9949278.04,1204561410.05,43109552.26,20330065.0,697357156.66,688329.SH
20211231,52052399.98,28409461.060000002,322707786.71,9847072.07,1139692222.35,181948350.26,74425051.86,695833696.57,688329.SH
20210930,20869076.18,498233.54000000097,235067055.15,60347450.27,1040988204.51,76909851.78,28400602.92,662445352.36,688329.SH
20220930,24942181.889999986,-135313243.33,1950097268.42,1425916264.88,4760689774.62,491681716.1999999,362351988.12,3782988332.67,603050.SH
20220630,57917973.79000001,-72012457.6,2175826382.26,834060301.58,4351148436.93,669242657.02,512889047.80999994,3391649200.11,603050.SH
20220331,13993729.39,-175210892.81,1982687543.85,598763442.45,3889877871.59,319573117.83,229364350.85,2959695069.21,603050.SH
20211231,-8551792.100000001,150111590.38,2005666152.03,497084724.92,3801542728.34,920419557.02,735554490.54,2898025282.5,603050.SH
20210930,-2342341.7399999984,11963104.069999993,1552804590.24,529177938.58,3371262191.22,435098383.2599999,344543882.1700001,2505908993.05,603050.SH
20220930,15923149.309999995,29356734.35,378182199.37,13930862.16,1310899436.56,210148763.89999998,154280486.79000002,808776690.73,603311.SH
